	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
17	500	newyork	1985	N/A	153	honda	elite 150	1985 Honda Elite 150	Astoria	https://newyork.craigslist.org/que/mcy/d/astoria-1985-honda-elite-150/7080996574.html
170	500	newjersey	1986	N/A	N/A	kawaski	Concours	Kawasaki Concours 1986 $500	Leonia, NJ	https://newjersey.craigslist.org/mcy/d/leonia-kawasaki-concours/7081231403.html
152	550	newyork	2014	N/A	50	Lance	pch50	Lance PCH 50cc moped	N/A	https://newyork.craigslist.org/wch/mcy/d/dover-plains-lance-pch-50cc-moped/7066191511.html
222	600	newjersey	2014	553	49	bintelli	scorch	Bintelli Scorch Scooter	Hewitt	https://newjersey.craigslist.org/mcy/d/hewitt-bintelli-scorch-scooter/7070974967.html
111	625	newyork	N/A	N/A	N/A	Italjet		2001 italjet 50cc Scooters	N/A	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2001-italjet-50cc-scooters/7070688647.html
64	750	newyork	Bird	N/A	N/A	One		selling new Bird scooter	Upper East Side	https://newyork.craigslist.org/mnh/mcy/d/new-york-selling-new-bird-scooter/7077210559.html
34	750	newyork	N/A	N/A	N/A	ducati	monster 750	Ducati monster 750(Sold as is)	Bronx ny	https://newyork.craigslist.org/brx/mcy/d/bronx-ducati-monster-750sold-as-is/7079786469.html
279	750	newjersey	2001	365	50	yamaha	vino 50	Yamaha Vino 50cc Scooter	Middletown	https://hudsonvalley.craigslist.org/mcy/d/middletown-yamaha-vino-50cc-scooter/7081775640.html
174	800	newjersey	2003	N/A	50	Honda	XR50R	Honda XR50R Dirt Bike 4 Stroke	West Milford	https://newjersey.craigslist.org/mcy/d/west-milford-honda-xr50r-dirt-bike-4/7080623698.html
62	800	newyork	2019	150	N/A	L5+		Eco Reco L5+ for sale	East Village	https://newyork.craigslist.org/mnh/mcy/d/new-york-eco-reco-l5-for-sale/7077370751.html
98	800	newyork	1975	N/A	N/A	Honda	cb 550	1975 Honda CB 550	Bay Shore	https://newyork.craigslist.org/lgi/mcy/d/brightwaters-1975-honda-cb-550/7072285950.html
180	800	newjersey	N/A	14000	600	Yamaha	Radian	Yamaha Radian 1986	Newton	https://newjersey.craigslist.org/mcy/d/newton-yamaha-radian-1986/7079860403.html
263	950	newjersey	N/A	163	150	Motobravo	Roma	Super Cool Scooter/Motorcycle	Hopewell Junction	https://newyork.craigslist.org/wch/mcy/d/hopewell-junction-super-cool-scooter/7081870040.html
9	950	newyork	N/A	163	150	Motobravo	Roma	Super Cool Scooter/Motorcycle	Hopewell Junction	https://newyork.craigslist.org/wch/mcy/d/hopewell-junction-super-cool-scooter/7081870040.html
181	950	newjersey	2002	1324	N/A	yamaha	zuma	2002 Yamaha Zuma 50cc	N/A	https://newjersey.craigslist.org/mcy/d/sloatsburg-2002-yamaha-zuma-50cc/7079813123.html
75	950	newyork	2012	200	49	Kymco	Like 50 2T	2012 Kymco Like 50 2T	Stamford	https://newyork.craigslist.org/fct/mcy/d/stamford-2012-kymco-like-50-2t/7075792540.html
169	950	newjersey	1993	1115	250	honda	nighthawk 250	1993 Honda Night Hawk 250 cc	Dumont	https://newjersey.craigslist.org/mcy/d/dumont-1993-honda-night-hawk-250-cc/7081336985.html
84	960	newyork	2020	0	50	Taotao	50	50cc Street Legal Gas Moped Scooter, Like New 2020	Rego Park, Queens	https://newyork.craigslist.org/que/mcy/d/rego-park-50cc-street-legal-gas-moped/7073823961.html
58	999	newyork	2020	N/A	N/A	Sccotstar		ScootStar 50CC Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-scootstar-50cc-scooters-new/7078101217.html
15	1000	newyork	N/A	N/A	N/A	Shmwy		Electric moped scooter	Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-electric-moped-scooter/7081130916.html
128	1000	newyork	1999	13715	800	suzuki	intruder 800	1999 Suzuki Intruder 800	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-1999-suzuki-intruder-800/7069506844.html
107	1000	newyork	1986	1400	200	Suzuki	DR200	Suzuki DR 200 1986	South Orange	https://newyork.craigslist.org/jsy/mcy/d/south-orange-suzuki-dr/7071202944.html
22	1050	newyork	2020	N/A	50	tao	tao	I'm selling my scooter	Harlem or Washingtonheights	https://newyork.craigslist.org/mnh/mcy/d/new-york-im-selling-my-scooter/7080710331.html
121	1100	newyork	1982	N/A	N/A	honda	cx500	1982 honda cx500	N/A	https://newyork.craigslist.org/lgi/mcy/d/valley-stream-1982-honda-cx500/7069833919.html
260	1100	newjersey	N/A	N/A	N/A	Honda	cbr600	Cbr600	N/A	https://newyork.craigslist.org/lgi/mcy/d/wantagh-cbr600/7082342117.html
6	1100	newyork	N/A	N/A	N/A	Honda	cbr600	Cbr600	N/A	https://newyork.craigslist.org/lgi/mcy/d/wantagh-cbr600/7082342117.html
14	1100	newyork	1978	0	49	Puch	Pinto	1978 Puch Pinto Moped	Sunnyside	https://newyork.craigslist.org/que/mcy/d/sunnyside-1978-puch-pinto-moped/7081178895.html
254	1200	newjersey	N/A	N/A	N/A	honda	nighthawk	1984 Honda Nighthawk 650	Brewster	https://newyork.craigslist.org/wch/mcy/d/brewster-1984-honda-nighthawk-650/7082608114.html
167	1200	newjersey	1976	N/A	N/A	Honda	XL100	1976 Honda XL100 Enduro Dual Sport -OBO	N/A	https://newjersey.craigslist.org/mcy/d/madison-1976-honda-xl100-enduro-dual/7081544711.html
159	1200	newyork	N/A	N/A	N/A	honda	shadow	1991 Honda shadow vlx 600	N/A	https://newyork.craigslist.org/que/mcy/d/woodside-1991-honda-shadow-vlx-600/7064655122.html
0	1200	newyork	N/A	N/A	N/A	honda	nighthawk	1984 Honda Nighthawk 650	Brewster	https://newyork.craigslist.org/wch/mcy/d/brewster-1984-honda-nighthawk-650/7082608114.html
257	1200	newjersey	2020	N/A	N/A	Scootstar	Racestar 50	Racestar 50CC Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-racestar-50cc-scooters-new/7082503698.html
273	1200	newjersey	N/A	N/A	N/A	SUZUKI	KTM	1990 SUZUKI DR350 2004 KTM 65 SX	BRICK, NJ	https://jerseyshore.craigslist.org/mcy/d/brick-1990-suzuki-dr-ktm-65-sx/7081218283.html
3	1200	newyork	2020	N/A	N/A	Scootstar	Racestar 50	Racestar 50CC Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-racestar-50cc-scooters-new/7082503698.html
229	1234	newjersey	N/A	N/A	N/A	British		BSA, Triumph,  Wanted  $$	Jersey City	https://newjersey.craigslist.org/mcy/d/jersey-city-bsa-triumph-wanted/7069557761.html
256	1299	newjersey	N/A	N/A	N/A	Scootstar	RogueStar	Rogue Star 50CC Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-rogue-star-50cc-scooters/7082517370.html
2	1299	newyork	N/A	N/A	N/A	Scootstar	RogueStar	Rogue Star 50CC Scooters NEW 2020	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-rogue-star-50cc-scooters/7082517370.html
69	1300	newyork	1989	13000	599	Yamaha	Radian	89 Yamaha Radian	Monroe	https://newyork.craigslist.org/fct/mcy/d/trumbull-89-yamaha-radian/7076603082.html
16	1300	newyork	1989	13000	599	Yamaha	Radian	89 Yamaha Radian	Monroe	https://newyork.craigslist.org/fct/mcy/d/trumbull-89-yamaha-radian/7081005459.html
179	1350	newjersey	N/A	N/A	N/A	harley	davidson	1973 AMF Z90	WEST MILFORD	https://newjersey.craigslist.org/mcy/d/newfoundland-1973-amf-z90/7080180407.html
116	1400	newyork	P310	N/A	N/A	N/A		P310 Power Wheelchair	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-p310-power-wheelchair/7070387406.html
280	1400	newjersey	N/A	N/A	N/A	Rollgood		Scooter electric 40mph	Jericho	https://longisland.craigslist.org/mcy/d/jericho-scooter-electric-40mph/7082614040.html
55	1499	newyork	2018	N/A	N/A	kymco	agility 125	2019 KYMCO AGILITY 125	BROOKLYN	https://newyork.craigslist.org/brk/mcd/d/2019-kymco-agility-125/7078554871.html
26	1500	newyork	N/A	N/A	N/A	Yamaha	 chappy	1980 yamaha chappy 50cc	Glen rock	https://newyork.craigslist.org/jsy/mcy/d/paterson-1980-yamaha-chappy-50cc/7080450031.html
146	1500	newyork	2019	1500	312	yamaha		Brand New Yamaha R3	New Jersey	https://newyork.craigslist.org/jsy/mcd/d/brooklyn-brand-new-yamaha-r3/7067395701.html
106	1500	newyork	2008	17200	N/A	Yamaha	Majesty 400	2008 Yamaha Majesty	Bensonhurst, Brooklyn	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2008-yamaha-majesty/7071226643.html
203	1500	newjersey	2009	55000	500	Suzuki	GS500F	Suzuki GS500F	Washington (Warren Co.	https://newjersey.craigslist.org/mcy/d/washington-suzuki-gs500f/7074941984.html
137	1500	newyork	1999	197	1800	Toyota	Corolla	Dependable Car for Regular Use	Ozone Park	https://newyork.craigslist.org/que/mcy/d/ozone-park-dependable-car-for-regular/7068696425.html
44	1700	newyork	2020	N/A	N/A	Ice	bear Maddog	Ice Bear Maddog Mad Dog 150cc & 50cc	Island Park	https://newyork.craigslist.org/lgi/mcd/d/island-park-ice-bear-maddog-mad-dog/7078739479.html
199	1750	newjersey	2003	18000	N/A	suzuki	sv 650	REDUCED! 2003 Suzuki SV650	Morristown	https://newjersey.craigslist.org/mcy/d/reduced-2003-suzuki-sv650/7075976804.html
158	1750	newyork	2006	5000	250	kawasaki	ninja 250	2006 Ninja 250 Ex for sale	Dix Hills	https://newyork.craigslist.org/lgi/mcy/d/huntington-station-2006-ninja-250-ex/7064897914.html
142	1750	newyork	2009	5900	N/A	vespa	lx150	2009 Vespa LX150, 2013 S150, &15  GTS300 ABS	Ozone park	https://newyork.craigslist.org/que/mcy/d/ozone-park-2009-vespa-lx-s-gts300-abs/7068305473.html
210	1750	newjersey	1985	27394	1165	suzuki	madura	***1985 Suzuki 1200 Madura***	Wallington	https://newjersey.craigslist.org/mcy/d/passaic-1985-suzuki-1200-madura/7073478934.html
54	1799	newyork	2018	N/A	N/A	kymco	agility 125	2020 KYMCO AGILITY 125	BROOKLYN	https://newyork.craigslist.org/brk/mcd/d/2020-kymco-agility-125/7078557260.html
105	1800	newyork	2004	N/A	250	Honda	Rebel	2004 Honda Rebel 250	Cliffside Park, NJ	https://newyork.craigslist.org/jsy/mcy/d/cliffside-park-2004-honda-rebel-250/7071262375.html
190	1800	newjersey	N/A	N/A	220	Kawasaki	KDX 220	2003 Kawasaki KDX 220	N/A	https://newjersey.craigslist.org/mcy/d/lake-hiawatha-2003-kawasaki-kdx-220/7078620071.html
30	1900	newyork	1992	N/A	750	honda	cb750 nighthawk	1992 Honda CB750 Nighthawk	Upper West Side	https://newyork.craigslist.org/mnh/mcy/d/new-york-1992-honda-cb750-nighthawk/7080107698.html
262	1900	newjersey	1992	N/A	750	honda	cb750 nighthawk	1992 Honda CB750 Nighthawk	Upper West Side	https://newyork.craigslist.org/mnh/mcy/d/new-york-1992-honda-cb750-nighthawk/7081973878.html
235	1900	newjersey	1996	N/A	1100	Honda		HONDA SHADOW 1100 AMERICAN CLASSIC EDITION	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-honda-shadow-1100-american/7068802799.html
